referencia,autor,anio,edicion,capitulo,metodo,problema,supuestos,criterio_decision,modulo,codigo,estado,procedencia
—,Fisher 1911; Bodin/Hume; Friedman (menciones),1911,—,—,teoría cuantitativa MV=PY,¿por qué imprimir es inflación?,V estable; Y de pleno empleo; M exógena,identidad exacta; 2M⇒2P exacto; π exacta vs aproximación gM+gV−gY (<0.5pp); M/P invariante,simuladores/macro/modelos,nivel_06/m34_teoria_cuantitativa.py,implementado+validado (4 verificaciones),conocimiento general (NO verificado contra ediciones)
—,Hume 1752 (mención); síntesis m20-m25,1752,—,—,neutralidad del dinero (dinámica: comba y escalera),¿cuánto dura el poder real del dinero?,aparato AD-AS dinámico; emisión permanente,P∞/P0 = M'/M exacto con Y∞=Y*; impacto real Y0>Y*; ↓λ alarga la no-neutralidad,simuladores/macro/modelos,nivel_06/m35_neutralidad_dinero.py,implementado+validado (4 verificaciones; usa nivel_04/_adas),conocimiento general
—,Cagan 1956; Bailey (menciones),1956,—,—,señoreaje s(π)=(π/100)·a·e^{−bπ} (Laffer),¿cuánto financia la imprenta?,demanda de Cagan; EE con gM=π,pico numérico = 1/b; s(120)<s(40); extremos nulos; fuga exponencial de la base,simuladores/macro/modelos,nivel_06/m36_senoreaje.py,implementado+validado (4 verificaciones),conocimiento general; Perú 88-90: episodio (datos vía BCRP en nivel 12); calibración didáctica
—,manuales de dinero y banca; Friedman-Schwartz 1963 (mención),1963,—,—,multiplicador monetario m=(1+c)/(c+r),¿quién crea el dinero?,r y c constantes; préstamos con demanda,suma de rondas = m·B; identidad B=C+R exacta; ↑r⇒↓m; ↑c⇒↓m (corrida),simuladores/macro/modelos,nivel_06/m37_multiplicador_monetario.py,implementado+validado (4 verificaciones),"conocimiento general; crítica endógena (BoE 2014, mención) documentada"
—,Taylor 1993; Woodford; Orphanides (menciones),1993,—,—,regla de Taylor i=r*+π+φπ(π−π*)+φy·gap,¿cómo decide la tasa un banco central?,r* y brecha observables; respuesta lineal; sin ZLB,principio di/dπ=1+φπ>1; neutral exacto en la meta; recesión honda⇒ZLB (m12); real endurece con π,simuladores/macro/modelos,nivel_06/m38_regla_taylor.py,implementado+validado (4 verificaciones; ancla con plantilla profunda),"conocimiento general; calibración: la original de Taylor (0.5, 0.5)"
—,"operativa de bancos centrales con corredor (doc institucional, mención)",2000,—,—,"corredor de tasas: i=clip((a−S)/b; i_dep, i_vent)",¿cómo se implementa la tasa anunciada?,facilidades creíbles e ilimitadas; demanda lineal,interior exacto; piso y techo atan exacto; acotación universal en S,simuladores/macro/modelos,nivel_06/m39_corredor_tasas.py,implementado+validado (4 verificaciones),"conocimiento general (BCRP: referencia + ventanillas, mención); calibración didáctica"
—,régimen de metas (N. Zelanda 1990; BCRP 2002 — menciones),1990,—,—,inflación objetivo: π_{t+1}=π*+(1−θ)(π_t−π*),¿por qué anunciar un número abarata los shocks?,θ resume el régimen; shocks de una vez,decaimiento geométrico exacto; semivida=ln2/−ln(1−θ); θ↑ acelera órdenes de magnitud; θ→0: persistencia 70s,simuladores/macro/modelos,nivel_06/m40_metas_inflacion.py,implementado+validado (4 verificaciones),conocimiento general; formulación del anclaje: decisión de diseño
—,Kydland-Prescott 1977; Barro-Gordon 1983; Rogoff 1985 (menciones),1983,—,—,credibilidad: sesgo inflacionario π_disc=λαū,¿por qué atarse las manos gana a la discreción?,público racional; juego de una vez; Phillips de sorpresa,sesgo=λαū exacto (BR∩45°); sorpresa nula en equilibrio; L_regla<L_disc; conservador reduce sesgo,simuladores/macro/modelos,nivel_06/m41_credibilidad.py,implementado+validado (4 verificaciones; ancla),conocimiento general (NO verificado contra fuentes)
—,Muth 1961; Lucas 1972/1976; Sargent-Wallace 1975 (menciones),1975,—,—,expectativas racionales y oferta de Lucas,¿qué puede la política contra quien la entiende?,estructura y regla conocidas; sorpresa único canal real,inefectividad exacta (anunciada⇒y=ȳ ∀t); boom adaptativo=β·gM un período; sorpresa iguala públicos; LP solo precios,simuladores/macro/modelos,nivel_06/m42_expectativas_racionales.py,implementado+validado (4 verificaciones),conocimiento general (NO verificado contra fuentes)
—,Manual de Balanza de Pagos del FMI (mención),1993,—,—,balanza de pagos: CC+CF=ΔRIN,¿quién financia el déficit externo?,contabilidad ex post; CF agregada,identidad exacta; flotación⇒CF=−CC; descomposición CC sin residuo; fuga⇒ΔRIN<0,simuladores/macro/modelos,nivel_07/m43_balanza_pagos.py,implementado+validado (4 verificaciones),"conocimiento general; estructura didáctica evocando la peruana (rentas mineras, remesas)"
—,cuentas nacionales abiertas; Obstfeld-Rogoff (mención),1996,—,—,cuenta corriente CC=(Sp−I)+(T−G),¿el déficit externo se decide en el ahorro?,ceteris paribus para gemelos puros,identidad exacta; gemelos ΔCC=−ΔG exacto; coherencia con m43; boom de I abre la CC,simuladores/macro/modelos,nivel_07/m44_cuenta_corriente.py,implementado+validado (4 verificaciones),conocimiento general
—,mercado de flujos de manuales (conocimiento general),1976,—,—,mercado cambiario E*=(c+dBC−a)/(b+d),¿qué mueve el precio del dólar?,flujos con pendientes estables; intervención esterilizada,vaciado exacto; bonanza aprecia; compra del BC deprecia+acumula RIN; ΔE=Δshock/(b+d) exacto,simuladores/macro/modelos,nivel_07/m45_tipo_cambio_nominal.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica en torno a 3.5 PEN/USD
—,definición estándar; Balassa-Samuelson (mención),1964,—,—,tipo de cambio real RER=E·P*/P,¿cuándo devaluar es real y cuándo es el hámster?,canastas comparables; passthrough exógeno,RER multiplicativo exacto; aproximación dE+dP*−dP acotada; hámster: dE=dP⇒RER=100.0 exacto; inflación local aprecia,simuladores/macro/modelos,nivel_07/m46_tipo_cambio_real.py,implementado+validado (4 verificaciones),conocimiento general
—,Cassel 1918; Rogoff 1996 PPP puzzle (menciones),1918,—,—,PPP relativa E'/E=(1+π)/(1+π*),¿a dónde camina E cuando pasan los años?,canastas transables; desvío geométrico con vida media,crecimiento de E_ppp exacto; RER=100 constante en la senda; semivida exacta; sin diferencial sin tendencia,simuladores/macro/modelos,nivel_07/m47_ppp.py,implementado+validado (4 verificaciones),conocimiento general
—,arbitraje estándar; Fama 1984 puzzle; Dornbusch 1976 (menciones),1976,—,—,UIP: E=Ee(1+i*+ρ)/(1+i),¿por qué el dólar de hoy cotiza el futuro?,movilidad perfecta; sin cobertura; Ee exógena,retornos igualados exacto; ↑i aprecia HOY; ↑i* (FED) deprecia HOY; ↑ρ deprecia con tasas quietas,simuladores/macro/modelos,nivel_07/m48_uip.py,implementado+validado (4 verificaciones),conocimiento general
—,Mundell 1963; Fleming 1962 (menciones; Nobel 1999),1963,—,—,Mundell-Fleming: IS-LM abierto con r=r*,¿qué política funciona según el régimen cambiario?,país pequeño; movilidad perfecta; precios fijos; fijo creíble,flexible: ΔY/ΔG=0 y dY/dM=1/k EXACTOS; fijo: mult=1/(1−c1+m1) exacto y monetaria imposible (M vuelve); base idéntica entre regímenes,simuladores/macro/modelos,nivel_07/m49_mundell_fleming.py,implementado+validado (5 verificaciones; ANCLA con plantilla profunda),conocimiento general; calibración: decisión de diseño (base común a ambos regímenes)
—,corolario de Mundell; Obstfeld-Taylor; Krugman 1979; Rey (menciones),1999,—,—,trilema: fuga=κ·mov·(i−i*); T*=RIN0/fuga,fijo+movilidad+autonomía: ¿por qué solo dos?,arbitraje a velocidad finita; defensa solo con RIN,reloj T* exacto (RIN=0 en ⌈T*⌉); flotar⇒RIN constantes; controles escalan T* ×10 exacto; i=i*⇒fuga 0,simuladores/macro/modelos,nivel_07/m50_trilema.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,Romer 2000 (mención),2000,—,—,IS-MP: keynesianismo sin curva LM,¿el IS-LM del siglo XXI con reglas de tasa?,π dada; M perfectamente endógena (m39),equilibrio exacto; multiplicador pleno con π dada; dY/dπ=−k·b·φπ exacto; la M no existe como parámetro,simuladores/macro/modelos,nivel_08/m51_is_mp.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,"AD-AS dinámico de manual moderno (Mankiw, mención)",2010,—,—,AD por regla + Phillips adaptativa (dinámico),¿cómo digiere shocks una economía CON regla?,adaptativas; regla solo a π; shocks de una vez,"reposo exacto en (Y*,π*); convergencia global; regla dura acorta el desvío; estanflación dinámica",simuladores/macro/modelos,nivel_08/m52_adas_expectativas.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,"Calvo 1983 (EN BIBLIOTECA, sin verificar); Dixit-Stiglitz; Mankiw menú (menciones)",1983,—,—,rigidez de Calvo: y_t=θ^{t+1}dM,racionales + rigidez ⇒ ¿el dinero trabaja?,lotería de Calvo; competencia monopolística,θ=0 recupera m42; reparto p+y=dM exacto ∀t; duración=1/(1−θ) (suma geométrica); neutralidad final,simuladores/macro/modelos,nivel_08/m53_nk_basico.py,implementado+validado (4 verificaciones),Calvo en biblioteca (pendiente verificación contra PDF); forma reducida: decisión de diseño
—,"Euler/Ramsey; Woodford, Galí (menciones)",2003,—,—,IS dinámica: x_t=x_{t+1}−σ(r_t−r_n),¿por qué el ANUNCIO de tasas mueve el presente?,previsión perfecta; sin restricción de liquidez; ancla terminal,x0=−σΣ(tasas futuras) exacto; forward guidance (2K⇒2x0); x0<0 con r0=r_n; final limpio,simuladores/macro/modelos,nivel_08/m54_is_dinamica.py,implementado+validado (4 verificaciones),conocimiento general
—,"NKPC desde Calvo: Galí, Woodford; híbrida: Galí-Gertler 1999 (menciones)",1999,—,—,NKPC: π_t=βπ_{t+1}+κx_t,¿la inflación como profecía de brechas futuras?,racionales; κ de Calvo; ancla terminal,recursión=suma cerrada; permanente⇒κx/(1−β); descuento β^j exacto; SIN inercia intrínseca,simuladores/macro/modelos,nivel_08/m55_nkpc.py,implementado+validado (4 verificaciones),conocimiento general
—,Clarida-Galí-Gertler 1999; Woodford 2003; Galí 2008 (menciones),1999,—,—,modelo de 3 ecuaciones (IS+NKPC+Taylor) con shock AR(1),¿cómo responde una economía racional CON regla?,racionales; principio de Taylor para unicidad; sin ZLB,"solución (a,b) por coef. indeterminados VERIFICADA ecuación×período (<1e-9); φπ>1⇒b<0; IRFs decaen a ρ; halcón: menos π más recesión; φπ<ρ⇒b>0 (Burns)",simuladores/macro/modelos,nivel_08/m56_tres_ecuaciones.py,"implementado+validado (5 verificaciones; ANCLA MAYOR, plantilla profunda)",conocimiento general; método: coeficientes indeterminados (estándar)
—,Kydland-Prescott 1982; Long-Plosser 1983 (menciones),1982,—,—,RBC log-lineal: y=(1+α_nη)a; jerarquía σ_i>σ_y>σ_c,¿el ciclo como respuesta EFICIENTE a la tecnología?,impulso solo tecnológico; trabajo elástico; sin dinero,amplificación exacta; jerarquía con razones exactas; identidad y=sc·c+si·i; autocorr(y)=autocorr(a) EXACTA (sin propagación),simuladores/macro/modelos,nivel_08/m57_rbc.py + _rbc.py,implementado+validado (4 verificaciones),esqueleto didáctico: decisión de diseño sobre conocimiento general
—,IRF como práctica: Sims 1980 (mención),1980,—,—,IRF del shock tecnológico en RBC,¿la huella digital del modelo ante su shock?,impulso aislado determinista; linealidad,decaimiento exacto a ρ; jerarquía de impactos i>y>c; n=ηa exacto; semivida=ln2/−lnρ,simuladores/macro/modelos,nivel_08/m58_shock_tecnologico.py,implementado+validado (4 verificaciones),conocimiento general
—,contraste de paradigmas; evidencia VAR: CEE 1999 (mención),1999,—,—,shock monetario: RBC (y=0) vs NK (y=θ^{t+1}dM),EL test entre las dos escuelas modernas,mundos idénticos salvo θ; shock sorpresivo,RBC neutral exacto ∀t; NK impacto θdM y razón θ exactos; destino común (m35); área=θ/(1−θ)dM exacta,simuladores/macro/modelos,nivel_08/m59_shock_monetario.py,implementado+validado (4 verificaciones),conocimiento general
—,"comparador sobre m04/m10/m49/m56; Ramey, Ilzetzki et al. (menciones)",2011,—,—,multiplicador fiscal POR RÉGIMEN (5 fórmulas),¿cuánto vale un sol de gasto? depende del régimen,parámetros compartidos; multiplicadores de impacto,cada barra=fórmula fuente exacta; escalera simple>fijo>NK≈ISLM>flex=0; NK<1 con Taylor activo; flex=0 exacto,simuladores/macro/modelos,nivel_08/m60_shock_fiscal.py,implementado+validado (4 verificaciones),meta-modelo del propio laboratorio: decisión de diseño
—,Cogley-Nason 1995; Smets-Wouters 2007 (menciones),1995,—,—,propagación: capital de Solow dentro del ciclo,¿de quién es la persistencia: del shock o del modelo?,impulso corto a propósito; acumulación log-lineal; estabilidad (1−δ)+sα<1,α=0⇒y≡a exacto; semivida(y)>semivida(a); joroba de k (pico tras impacto); retorno global a cero,simuladores/macro/modelos,nivel_08/m61_shocks_productividad.py,implementado+validado (4 verificaciones),mecánica Solow-RBC: decisión de diseño sobre m26/m57
—,"contabilidad fiscal estándar (manuales, conocimiento general)",1990,—,—,restricción presupuestaria G+rB=T+ΔB+SM,¿de dónde sale cada sol del gobierno?,un período; tasa única; sin default,usos=fuentes exacta; total=primario+intereses; herencia escala con B; señoreaje sustituye deuda 1:1,simuladores/macro/modelos,nivel_09/m62_restriccion_presupuestaria.py,implementado+validado (4 verificaciones),conocimiento general; calibración didáctica
—,aritmética de deuda estándar (conocimiento general),1985,—,—,deuda pública: B'=(1+r)B−SP (bola de nieve),¿por qué las deudas crecen solas?,sin PIB; r exógena; SP constante,recursión exacta; SP*=r·B0 congela exacto; SP=0⇒(1+r)^t exacto; duplicación ln2/ln(1+r),simuladores/macro/modelos,nivel_09/m63_deuda_publica.py,implementado+validado (4 verificaciones),conocimiento general
—,DSA del FMI (mención); Blanchard 2019 r<g (mención),2019,—,—,dinámica deuda/PIB: Δb≈b(r−g)−sp,¿cuándo conviven país y déficit?,"r,g exógenos; sp constante; moneda propia",recursión exacta; sp*=b(r−g)/(1+g) congela exacto; g>r licúa sola (monótono); esfuerzo lineal en b,simuladores/macro/modelos,nivel_09/m64_dinamica_deuda_pib.py,implementado+validado (4 verificaciones; ANCLA con plantilla profunda),conocimiento general; calibración didáctica
